"p_id","category","product_name","price","descript","color"
108,11,Harbio Goldbears Gummi Candy (5 pound),1.45,Contains 5 fruity flavors which can please any sweet tooth.,NULL
109,11,SweeTARTS Gummies Candy (12 Oz.),1.95,SweeTARTS Gummy fruit is bursting with different flavors.,NULL
110,11,LifeSavers Gummies,2.20, Sweeten up your day with a pack of LifeSavers Gummies which consists of numerous flavors.,NULL
111,11,Welch's Fruit Snack,1.40,Delicious Fruit Snacks where Fruit is the 1st Ingredient.,NULL
112,11,Planters Salted Peanuts (1 Oz.),0.95,Planters Salted Peanuts follow the original Planters recipe. Each peanut is finely seasoned with sea salt to enhance the natural roasted nut flavor.,NULL
113,11,KitKat Chocolate Candy Bar,0.95,Take a break and enjoy a 5 layer of wafers covered in milk chocolate treat.,NULL
114,11,HERSHEY'S Cookies 'n' Creme Candy Bar,0.95,A swirling delicious white chocolate flavored creme with yummy chocolate cookie bits.,NULL
115,11,SNICKERS Chocolate Candy Bar,0.95,Made with caramel; nougat; peanuts and milk chocolate that no one can resist.,NULL
116,11,TWIX Caramel Chocolate Cookie Candy Bar,0.95,A savory caramel covering a cookie coated in delicious chocolate. Take a pause and enjoy a TWIX.,NULL
117,15,Nature Valley Almond Butter Granola Cups,1.15,A creamy delicious treat made to satisfy any hunger.,NULL
118,12,Hostess Donettes Mini Glazed Donuts,1.65,A delicious white cake covered with a sweet glaze. This is a perfect quick snack for those busy mornings.,NULL
119,12,Nissin Top Ramen Chicken Flavor,0.55,Nissin top ramen is perfect for a quick meal bursting with an amazing chicken flavor.,NULL
120,12,Nissin Chow Mein Premium Teriyaki Beef,1.75,An authentic restaurant quality Asian chow mein with vegetables that can be made within 5 minutes.,NULL
121,12,Indomie Instant Noodles Soup Special Chicken Flavor,0.93,Indomie is perfect for a quick meal bursting with an amazing chicken flavor,NULL
122,12,Indomie Mi Goreng Instant Halal Hot and Spicy Stir Fry Noodles,0.93,Indomie hot and spicy flavor is perfect for a quick meal. It's spicy flavor adds just the right kick.,NULL
123,12,Kellogg's Rice Krispies Treats Crispy,2.30,Make snack time a little sweeter with Snap with a little Crackle and a Pop.,NULL
124,12,ACT II Butter Lovers Microwave Popcorn,0.35,ACT II popcorn has the perfect blend of rich butter flavor and just the right amount of salt.,NULL
125,13,Chex Mix Traditional Snack Mix (3.75 Oz.),1.75,Chex Mix is made of Chex wheat; pretzels; rye chips and mini breadsticks combined with a unique seasoning blend for a one-of-a-kind snack.,NULL
126,13,Chex Mix Bold Party Blend (3.75 Oz.),1.75,A zesty array of corn Chex wheat; mini breadsticks; pretzels and rye chips.,NULL
127,13,COMBOS Cheddar Cheese Backed Cracker (0.93 Oz.),0.75,Made with real cheese combos are perfect for a quick on the go snack.,NULL
128,13,Lay's Classic Potato Chips (1 Oz.),1.25,A crispy and delicious snack perfect for any event.,NULL
129,13,Lay's Potato Chips Barbecue (1 Oz.),1.25,Seasoned to capture all the delicious flavors of a backyard barbecue.,NULL
130,13,Ruffles Cheddar & Sour Cream Flavored Potato Chips (1 Oz.),1.25,Delicious flavors of real cheddar cheese and fresh sour cream for a unique taste experience.,NULL
131,13,Doritos Nacho Cheese Flavored Tortilla Chip- 1 Ounce,1.25,Crunchy and delicious tortilla chips perfect for any setting.,NULL
132,13,Tostitos Scoops! Party Size Tortilla Chips,3.25,Real corn tortillas perfect for dipping.,NULL
133,13,Pringles Original Flavored Potato Crisps Chips (5.2 Oz.),2.55,Satisfy your snack craving with the irresistible taste of original potato chip.,NULL
134,13,Pringles Salt & Vinegar Flavored Potato Crisps Chips (5.2 Oz.),2.55,Satisfy your snack craving with the irresistible taste of salt & vinegar potato chip.,NULL
135,14,OREO King size 10 ,1.56,Enjoy an Oreo sandwich with even more rich creme filling between the bold taste of two chocolate wafers,NULL
136,16,BORDEN Dutch Chocolate Milk- PINT,1.45,Made with milk dutch chocolate with creamy rich taste.,NULL
137,16,BORDEN Whole Milk- PINT,1.45,BORDEN whole milk rich in vitamin D.,NULL
138,16,Simply Orange Pulp Free Orange Juice,1.85,Experience the delicious taste of Simply 100% orange juice.,NULL
139,16,Savia Aloe Vera Pineapple Juice,1.55,Savia Aloe Vera is packed with vitamin C and a perfect fusion of flavor.,NULL
140,16,SToK Vanilla Cold Brew Coffee,3.25,SToK coffee is brewed at lower temperatures to bring out every bold flavor.,NULL
141,16,SToK Mocha Cold Brew Coffee,3.25,SToK coffee is brewed at lower temperatures to bring out every bold flavor.,NULL
142,16,Arizona Extra Sweet Green Tea (23 Fl. Oz),0.99,Arizona Green Tea is an all-natural tea infused with ginseng and sweetened with Sue Bee Premium Orange Honey.,NULL
143,16,Arizona Green Tea with Honey (23 Fl. Oz.),0.99,Arizona Green Tea is an all-natural tea infused with ginseng and sweetened with Sue Bee Premium Orange Honey.,NULL
144,16,Arizona Fruit Punch Juice Cocktail (23 Fl. Oz.),0.99,Arizona Fruit Punch is made with all natural flavors and is filled with vitamin C.,NULL
145,16,Arizona Unsweetened Sweet Tea (23 Fl. Oz.),0.99,Arizona Unsweetened Tea is made with 100% natural flavors.,NULL
146,16,Arizona Watermelon (23 Fl. Oz.),0.99,Arizona Fruit Punch is made with all natural flavors and is filled with vitamin C.,NULL
147,16,Powerade Orange Sports Drink (32 Fl. Oz),1.95,Powerade is filled with advanced Electrolyte System helps replenish four electrolytes lost in sweat.,NULL
148,16,Powerade  Fruit Punch Sports Drink (32 Fl. Oz.),1.95,Powerade is filled with advanced Electrolyte System helps replenish four electrolytes lost in sweat.,NULL
149,16,DrPepper Soda (20 Fl. Oz.),1.55,DrPepper is a soft drink with an authentically different taste that consists of  23 signature flavors blended into one deliciously unique beverage.,NULL
150,16,Dasani Purified Water (10 Fl. Oz.),1.16,Dasani water is enhanced with minerals for a pure fresh taste.,NULL
151,16,Coca-Cola Bottle (20 Fl. Oz.),1.55,Enjoy Coca-Cola's delicious taste with meals or on the go.,NULL
152,16,Sprite Bottle (20 Fl. Oz.),1.55,Sprite is made with lemon-lime flavor to quench your thirst.,NULL
153,17,Hot Pockets Pepperoni Pizza,3.95,Hot Pocket is made with 100% real cheese and is filled with flavors that will keep you feeling full.,NULL
154,17,Blue Bell Gold Rim Homemade Vanilla Ice Cream (64 OZ),2.95,Blue Bell homemade-tasting vanilla ice cream with a special hand-crafted flavor that's the best in the country.,NULL

155,18,Dove Men+Care Body and Face Wash Clean Comfort 13.5 Oz,5.75,Dove Men+Care Clean Comfort Body Wash provides hydration for healthier and stronger skin.,NULL
156,18,Lady Speed Stick Antiperspirant Deodorant 2.3 Oz,3.09,Freshness Morning to Night! Lady Speed Stick Power Antiperspirant Deodorant leverages fragrance encapsulation technology to provide a burst of freshness when you need it in addition to 24-hour protection against odor and wetness.,NULL
157,18,Edge Sensitive Skin Shave Gel for Men with Aloe 7 Oz,4.85,Our blend of moisturizers and lubricants provides excellent razor glide with cooling conditioners leave your face feeling refreshed.,NULL
158,18,Listerine Freshburst Antiseptic Mouthwash,4.05,Protect your mouth from germs and get fresh breath with Listerine Freshburst Antiseptic Mouthwash.,NULL
159,18,Irish Spring Original Body Wash 18 fl oz,3.00,Irish Spring Original fresh scent and rich lathering formula leaves you feeling clean as a whistle.,NULL
160,18,Sure Original Solid Anti Perspirant and Deodorant,2.25,Original Solid Regular Scent AntiPerspirant Deodorant by Sure for Unisex - 2.7 oz Deodorant.,NULL
161,18,AXE Body Wash Kilo,4.95,A body wash for men with a refreshing fragrance to kick off or end your day.,NULL
162,18,Suave Men 2 in 1 Hair and Body Wash 28 oz,2.35,A dual action shampoo and body wash - with just a hint of musk and sandalwood.,NULL
163,18,Dove Deep Moisture Body Wash 22 fl oz,6.95,Formula with NutriumMoisture technology delivers skin natural nutrients and nourishes deep into the surface layers of the skin.,NULL
164,20,Celestial Seasonings Sinus Soother,8.30,Celestial Seasoning sinus soother is made with soothing tulsi & nettle; promotes respiratory comfort.,NULL
165,18,Playtex Simply Gentle Glide Unscented Tampons,6.00,Playtex 360° protection and incredible comfort with a unique two-layer and cross pad design that opens equally all around.,NULL
166,18,Always Discreet Incontinence Bladder Liners,3.45,Thin and flexible design gives you discreet incontinence protection.,NULL
167,19,Eco Styler Olive Oil Styling Hair Gel 16oz,2.98,Eco Professional Styling Gel Olive Oil helps you get the look that you want. It's suitable for use on all hair types for added versatility.,NULL
168,25,e.l.f. Cosmetics Blending Sponge,6.20,Now Latex Free! The e.l.f. Cosmetics Blending Sponge flawlessly applies makeup for professionally even and smooth looking skin.,NULL
169,25,Make Up Eraser,15.4,Removes Your MakeUp with Just Water - 15 units.,NULL
170,20,Vaseline Lip Therapy,1.35,This Vaseline lip moisturizer gives lips a natural and glossy shine.,NULL
171,20,ChapStick Cherry Lip Balm,1.90,ChapStick helps prevent and heal dry chapped lips.,NULL
172,25,Swisspers Premium Cotton Rounds,3.25,Patented stitched edge technology binds all layers together so pad doesn't separate during use.,NULL
173,20,Advil Pain Reliever/Fever Reducer Tablets - Ibuprofen (NSAID),5.25,The medicine in Advil is #1 doctor recommended medicine that relieves minor aches and pains.,NULL
174,20,Vicks NyQuil and DayQuil SEVERE Cough,18.65,Vicks delivers maximum symptom-fighting ingredients to relieve your worst cold & flu symptoms.,NULL
175,20,Emergen-C Vitamin C 1000mg Powder,0.45,Emergen-C is flavored vitamin mix made with natural fruit flavors for a delicious Super Orange taste.,NULL
176,20,Alka-Seltzer Original Effervescent Tablets,3.50,Get fast relief of heartburn and acid indigestion with headache and body aches from this effervescent antacid pain reliever that has been around for more than 80 years.,NULL
177,20,HALLS Honey Lemon Flavor Menthol Drops,2.55,Triple soothing action. Soothes sore throats. Relieves coughs. Cools nasal passages.,NULL
178,20,Tylenol Extra Strength Caplets with 500 mg Acetaminophen,2.35,Tylenol Extra Strength caplets help reduce fever and provide temporary relief of minor aches and pains.,NULL
179,20,Pepto Bismol Liquid,3.55,Pepto Bismol is the #1 Pharmacist Recommended Brand for Upset Stomachs.,NULL
180,20,Tylenol Cold & Flu Severe,7.95,Tylenol Cold + Flu tackle your tough cold and flu symptoms by clearing congestion and quieting coughs. Tylenol also relieves head and body aches.,NULL
181,20,Clear Eyes Redness Relief Eye Drops,4.70,Clear Eyes Redness Relief Eye Drops relieve redness from minor irritations and protect against further irritations.,NULL
182,20,Vicks NyQuil Nighttime Cold & Flu Symptom,9.15,Vicks delivers maximum symptom-fighting ingredients to relieve your worst cold & flu symptoms.,NULL
183,20,Good Sense Hydrogen Peroxide,1.10,An essential component of medicine cabinets and first aid kits.,NULL
184,20,GoodSense Isopropyl Alcohol,1.85,An essential component of medicine cabinets and first aid kits.,NULL
185,18,Revlon Toenail Clipper,2.39,Revlon clippers have curved blades follow toenail shape for safe tri millimetersing and shaping.,NULL
186,18,Q-Tips Cotton Swabs,1.65,Q-tips cotton swabs are the Ultimate Home and Beauty Tool. With the most soft cotton at the tip from the end of the stick to the top of the swab and a gently flexible stick.,NULL
187,20,BAND-AID Waterproof Tough-Strips Bandages,4.05,BAND-AID is 100% Waterproof. With superstick adhesive to stay on longer. Up to 2X stronger than ordinary waterproof bandages.,NULL
188,18,Reach Waxed Dental Floss,1.65,Reach Mint Waxed Dental Floss is Reach ’s number-one-selling floss. This mint floss is waxed to slide easily between teeth while it removes plaque and food particles.,NULL
189,18,Colgate Toothbrushes Premier Extra Clean,1.05,Colgate Premier toothbrushes help maintain healthy gums without irritation.,NULL
190,18,Crest Cavity Protection Liquid Gel Toothpaste Cool Mint 8.2oz,1.45,Crest Cavity Protection Toothpaste gives you a cavity treatment that helps take care of your mouth by protecting your teeth and exposed roots.,NULL
191,18,Gillette Daisy Classic Women’s Disposable Razor,2.85,Gillette comfort razor blades are thin to glide for comfort.,NULL
192,21,Kitsch Spiral Hair Ties,5.95,The spiral design of telephone cord hair ties spreads the “pressure” of the hair elastic out over a greater surface area of your hair.,NULL
193,18,Burt's Bees facial cleaning towelettes with white Tea Extract,4.95,Burt's Bees cleansing cloths contain no parabens or petrolatum.,NULL
194,18,Burt's Bees Fragrance Free Shea Butter Body Lotion,9.95,Hypoallergenic Burt's Bees Fragrance Free Shea Butter and Vitamin E Body Lotion nourishes all skin types.,NULL
195,25,e.l.f. Highlighting  & Blending Sponge,6.00,e.l.f dual ended sculpting sponge that provides highlighting on one side and blending on the other.,NULL
196,25,e.l.f. Precision Concealer Sponge,6.00,The e.l.f. Cosmetics Precision Sponge Trio latex free material allows for a controlled used for flawless application and blending.,NULL
197,25,e.l.f. Powder Brush,12.00,Create flawless looking skin with help from the Studio Powder Brush from e.l.f. Cosmetics.,NULL
198,25,e.l.f. Foundation Brush,2.00,e.l.f's tapered bristles are designed to contour your face for a flawless finish.,NULL
199,25,e.l.f. Concealer Brush,1.00,The unique rounded shape allows you to contour and cover areas easily. Create buildable coverage from light to heavy for a customizable look that is smooth and flawless.,NULL
200,25,e.l.f. Luminous Matte Makeup Primer,8.00,This makeup base primes the skin for long wear. It also helps moisturize and brighten skin appearance.,NULL
201,25,e.l.f. Prime and Stay Finishing Powder,2.00,Erase fine lines and have a shine free complexion every day! The translucent powder in this compact is great for setting foundation or a quick midday touch up.,NULL
202,25,e.l.f. Lock On Liner & Brow Cream Light Brown,4.00,This eyebrow pomade glides on smoothly to sculpt and define brows.,NULL
203,25,e.l.f. Lock On Liner & Brow Cream Espresso,4.00,This eyebrow pomade glides on smoothly to sculpt and define brows.,NULL
